Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,110,hr,5517,Yea
passage,110,hres,1001,Nay
passage,110,hres,1084,Nay
passage-suspension,110,hres,923,Yea
passage-suspension,110,hr,3936,Yea
passage-suspension,110,hr,2464,Yea
passage-suspension,110,hres,1370,Yea
passage-suspension,110,hres,986,Yea
passage,110,hr,3999,Nay
passage-suspension,110,hres,909,Yea
passage,110,hres,1253,Nay
passage-suspension,110,hconres,318,Yea
passage-suspension,110,hres,954,Yea
passage,110,hconres,398,Nay
passage-suspension,110,hr,1143,Yea
passage-suspension,110,hconres,295,Yea
passage,110,hr,6599,Yea
passage-suspension,110,hr,6074,Nay
passage-suspension,110,hres,1008,Yea
passage-suspension,110,hconres,390,Yea
passage,110,hr,2768,Nay
passage-suspension,110,hr,3196,Yea
passage-suspension,110,hr,4211,Yea
passage-suspension,110,hres,933,Yea
passage-suspension,110,hr,5563,Nay
passage-suspension,110,hr,2192,Yea
passage-suspension,110,hres,1021,Yea
passage,110,hr,5140,Yea
passage-suspension,110,hres,1063,Yea
passage-suspension,110,hr,1311,Yea
passage-suspension,110,hr,6028,Yea
passage-suspension,110,hconres,281,Yea
passage-suspension,110,hconres,138,Yea
passage,110,hres,1065,Nay
passage,110,hr,5501,Nay
passage,110,hr,415,Nay
passage,110,hres,1218,Nay
passage-suspension,110,hr,4454,Yea
passage-suspension,110,s,793,Yea
passage-suspension,110,hres,1114,Yea
passage,110,hres,1036,Nay
passage-suspension,110,hres,866,Yea
passage-suspension,110,hres,537,Yea
passage-suspension,110,hr,6889,Yea
passage-suspension,110,hr,4986,Yea
passage,110,hr,1424,Nay
passage-suspension,110,hres,1144,Yea
passage-suspension,110,hres,1316,Yea
passage-suspension,110,hres,867,Yea
passage,110,hconres,355,Nay
passage,110,hres,1433,Nay
passage-suspension,110,hr,6983,Nay
veto-override,110,hr,6124,Yea
passage,110,hr,5781,Nay
passage,110,hr,6063,Yea
passage,110,hres,1175,Nay
passage,110,hr,3036,Nay
passage-suspension,110,hres,1067,Yea
passage-suspension,110,hr,1423,Yea
passage-suspension,110,hres,1079,Yea
passage-suspension,110,hr,7221,Yea
passage,110,hres,1318,Nay
passage-suspension,110,hr,6045,Yea
passage,110,hres,1317,Nay
passage-suspension,110,hconres,297,Yea
passage-suspension,110,hr,6331,Nay
passage,110,hres,1533,Nay
passage,110,hr,7060,Nay
passage-suspension,110,s,3197,Yea
passage,110,hres,1125,Nay
passage-suspension,110,s,3641,Yea
passage-suspension,110,hr,3658,Yea
passage-suspension,110,hres,1275,Yea
passage-suspension,110,hr,6897,Yea
passage-suspension,110,hres,952,Yea
passage,110,hres,1284,Yea
passage,110,hconres,379,Nay
passage-suspension,110,hr,6867,Nay
passage-suspension,110,hres,1259,Yea
passage,110,hres,1502,Nay
passage-suspension,110,hres,921,Yea
passage-suspension,110,hr,4199,Yea
passage-suspension,110,hconres,255,Yea
passage-suspension,110,hres,912,Yea
passage-suspension,110,hr,4332,Yea
passage-suspension,110,hres,1080,Yea
passage-suspension,110,hr,831,Yea
passage-suspension,110,hr,6707,Nay
passage-suspension,110,hr,3546,Yea
passage-suspension,110,s,3325,Yea
passage-suspension,110,hr,6251,Nay
passage-suspension,110,hres,1090,Yea
passage,110,hres,1167,Nay
passage,110,hr,3195,Yea
passage,110,hres,1500,Nay
passage-suspension,110,hr,5613,Nay
passage,110,hres,1503,Nay
passage-suspension,110,hr,5803,Nay
passage,110,hr,2176,Nay
passage-suspension,110,hres,1029,Yea
passage-suspension,110,hr,758,Yea
passage,110,hres,1488,Nay
passage-suspension,110,hres,1235,Yea
passage-suspension,110,hr,6358,Nay
passage-suspension,110,hconres,308,Yea
passage-suspension,110,hr,6460,Yea
passage-suspension,110,hr,6377,Yea
passage-suspension,110,hr,5151,Yea
passage,110,hres,1298,Nay
passage-suspension,110,hr,7081,Yea
passage-suspension,110,hr,5715,Yea
passage-suspension,110,s,2606,Yea
passage-suspension,110,hres,977,Yea
passage-suspension,110,hr,5749,Nay
passage-suspension,110,s,3001,Yea
passage-suspension,110,hres,1133,Yea
passage-suspension,110,hr,6604,Nay
passage-suspension,110,hconres,283,Yea
passage,110,hr,2642,Nay
passage,110,hres,956,Nay
passage,110,hres,1189,Nay
passage-suspension,110,hr,1527,Yea
passage-suspension,110,hr,5872,Yea
passage-suspension,110,hres,924,Yea
passage-suspension,110,hres,937,Yea
passage,110,hres,1190,Nay
passage,110,hres,1083,Nay
passage-suspension,110,hres,978,Yea
passage-suspension,110,hr,3058,Nay
passage,110,hconres,312,Nay
passage-suspension,110,hr,5669,Yea
passage,110,hres,1367,Nay
passage-suspension,110,hr,2675,Yea
passage-suspension,110,hres,886,Yea
passage-suspension,110,hres,963,Yea
passage-suspension,110,hres,1311,Yea
passage-suspension,110,hr,5472,Yea
passage-suspension,110,hres,951,Yea
passage-suspension,110,hres,1243,Yea
passage,110,hres,1214,Nay
passage-suspension,110,hres,1202,Yea
passage-suspension,110,hres,994,Yea
passage,110,hres,982,Not Voting
passage,110,hres,1419,Nay
passage,110,hres,1388,Nay
passage-suspension,110,hr,406,Yea
passage-suspension,110,hconres,344,Yea
passage-suspension,110,hr,4081,Yea
passage-suspension,110,hres,1173,Yea
passage,110,hres,1031,Nay
passage-suspension,110,s,2617,Yea
passage-suspension,110,hr,4848,Yea
passage-suspension,110,hr,6445,Yea
passage,110,hr,2642,Present
passage-suspension,110,hres,1225,Yea
passage-suspension,110,hr,3548,Yea
passage-suspension,110,hres,966,Yea
passage-suspension,110,hconres,302,Yea
passage-suspension,110,hr,6493,Yea
passage-suspension,110,hr,5489,Yea
passage-suspension,110,hconres,278,Yea
passage-suspension,110,hres,790,Yea
passage-suspension,110,hr,1343,Yea
passage,110,hr,5540,Nay
passage-suspension,110,hres,972,Yea
passage-suspension,110,hres,917,Yea
passage,110,hres,1233,Nay
passage,110,hres,1344,Nay
passage-suspension,110,hr,3352,Yea
passage-suspension,110,hr,6081,Yea
passage-suspension,110,s,2403,Not Voting
passage-suspension,110,s,2135,Not Voting
veto-override,110,hr,3963,Nay
passage,110,hconres,316,Nay
passage-suspension,110,hr,6022,Yea
passage-suspension,110,hr,5140,Yea
passage-suspension,110,hr,6124,Yea
