Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,117,hr,3197,Yea
passage-suspension,117,hr,203,Yea
passage,117,hr,963,Nay
passage-suspension,117,hr,700,Yea
passage,117,hres,1508,Nay
passage-suspension,117,hr,2954,Yea
passage-suspension,117,hr,6899,Yea
passage,117,hr,7900,Yea
passage-suspension,117,hr,5001,Yea
passage-suspension,117,hr,6871,Yea
passage,117,hr,9640,Nay
passage-suspension,117,hr,1437,Nay
passage,117,hres,1232,Nay
passage,117,hr,1948,Nay
passage-suspension,117,hr,3539,Yea
passage-suspension,117,hr,8454,Yea
passage,117,hres,1256,Nay
passage,117,hr,3485,Nay
passage-suspension,117,s,3168,Yea
passage-suspension,117,hr,7077,Yea
passage-suspension,117,s,3527,Yea
passage-suspension,117,hr,3359,Yea
passage-suspension,117,s,3499,Yea
passage-suspension,117,s,812,Yea
passage,117,hres,900,Nay
passage,117,hr,3617,Nay
passage-suspension,117,s,2959,Yea
passage-suspension,117,hr,1916,Nay
passage,117,hres,1224,Nay
passage-suspension,117,hr,6089,Yea
passage-suspension,117,hr,923,Yea
passage-suspension,117,hr,1917,Yea
passage-suspension,117,s,66,Yea
passage,117,hr,8296,Nay
passage-suspension,117,hr,4738,Yea
passage-suspension,117,s,2796,Yea
passage-suspension,117,s,1760,Yea
passage-suspension,117,hr,7734,Nay
passage-suspension,117,hr,2842,Not Voting
passage-suspension,117,s,1872,Yea
passage,117,hres,1529,Nay
passage-suspension,117,hr,5659,Yea
passage-suspension,117,hr,6868,Yea
passage-suspension,117,s,3875,Yea
passage-suspension,117,hr,1934,Yea
passage-suspension,117,s,2629,Yea
passage-suspension,117,hr,6531,Nay
passage-suspension,117,s,3308,Yea
passage-suspension,117,hr,224,Yea
passage-suspension,117,hr,7337,Yea
passage,117,hr,8876,Yea
passage,117,hres,979,Nay
passage-suspension,117,hr,5271,Yea
passage-suspension,117,hr,6930,Yea
passage-suspension,117,hr,5657,Yea
passage-suspension,117,hr,4693,Yea
passage-suspension,117,hr,7174,Yea
passage-suspension,117,s,452,Yea
passage-suspension,117,hr,7352,Yea
passage,117,hr,1808,Nay
passage-suspension,117,s,3451,Yea
passage-suspension,117,hr,5774,Yea
passage,117,hr,7606,Nay
passage-suspension,117,s,4785,Yea
passage-suspension,117,hr,5879,Nay
passage-suspension,117,,,Yea
passage,117,hres,1316,Nay
passage-suspension,117,s,4003,Nay
passage-suspension,117,hr,8463,Nay
passage-suspension,117,hr,2724,Yea
passage-suspension,117,hr,6943,Yea
passage,117,hres,1404,Nay
passage-suspension,117,,,Yea
passage-suspension,117,hr,5455,Nay
passage-suspension,117,,,Yea
passage-suspension,117,hr,7335,Yea
passage,117,s,2938,Nay
passage-suspension,117,s,2490,Yea
passage-suspension,117,hr,884,Yea
passage,117,hr,5376,Nay
passage-suspension,117,hr,7622,Yea
passage-suspension,117,hr,7283,Yea
passage-suspension,117,s,2293,Yea
passage-suspension,117,hr,7334,Yea
passage-suspension,117,hr,7777,Nay
passage-suspension,117,hres,1125,Yea
passage,117,hres,1499,Nay
passage,117,hres,1361,Nay
passage-suspension,117,hr,5738,Yea
passage,117,s,4524,Nay
passage-suspension,117,hr,2992,Yea
passage-suspension,117,,,Nay
passage,117,hres,860,Nay
passage-suspension,117,s,4089,Yea
passage-suspension,117,s,3846,Yea
passage-suspension,117,hr,7153,Yea
passage,117,hr,6448,Yea
passage,117,hres,1396,Nay
passage-suspension,117,s,2514,Yea
passage-suspension,117,hr,8888,Yea
passage-suspension,117,hr,4785,Yea
passage,117,hres,1153,Nay
passage,117,hr,3843,Nay
passage,117,hres,1124,Nay
passage-suspension,117,hr,7321,Nay
passage,117,hr,6878,Nay
passage-suspension,117,hr,5407,Yea
passage,117,hr,4176,Nay
passage-suspension,117,hr,7667,Yea
passage,117,hres,1204,Nay
passage-suspension,117,hr,7776,Yea
passage,117,hr,3372,Nay
passage-suspension,117,hr,6965,Yea
passage,117,hr,7780,Nay
passage-suspension,117,s,4900,Yea
passage-suspension,117,,,Yea
passage-suspension,117,hr,3482,Yea
passage-suspension,117,hr,7500,Yea
passage-suspension,117,s,3662,Yea
passage-suspension,117,hr,6376,Yea
passage,117,hres,1377,Nay
passage,117,s,2938,Nay
passage-suspension,117,hr,7694,Yea
passage,117,hr,4346,Nay
passage,117,hres,1289,Nay
passage,117,hr,2377,Nay
passage,117,hr,8326,Nay
passage-suspension,117,s,2089,Yea
passage,117,hr,302,Nay
passage-suspension,117,hr,7108,Yea
passage,117,s,1942,Nay
passage-suspension,117,s,583,Yea
passage,117,hr,4445,Yea
passage,117,hres,1531,Nay
passage,117,hr,3807,Nay
passage-suspension,117,hres,831,Yea
passage-suspension,117,hr,4476,Nay
passage,117,hr,2617,Nay
passage-suspension,117,,,Nay
