Category:,Congress,Bill Type,Bill Number,Vote Position
passage,117,hres,1508,Nay
passage,117,hr,9640,Nay
passage,117,hr,1948,Nay
passage-suspension,117,s,3168,Yea
passage-suspension,117,s,3499,Yea
passage-suspension,117,hr,1917,Yea
passage-suspension,117,s,2796,Yea
passage,117,hres,1529,Nay
passage-suspension,117,s,3875,Nay
passage-suspension,117,s,3308,Yea
passage,117,hr,8876,Yea
passage-suspension,117,hr,5774,Yea
passage-suspension,117,s,4785,Yea
passage-suspension,117,,,Yea
passage,117,hres,1316,Nay
passage-suspension,117,s,4003,Not Voting
passage-suspension,117,hr,8463,Nay
passage,117,hres,1404,Nay
passage-suspension,117,,,Yea
passage-suspension,117,hr,5455,Not Voting
passage-suspension,117,,,Yea
passage-suspension,117,s,2490,Yea
passage-suspension,117,hr,884,Nay
passage,117,hr,5376,Nay
passage-suspension,117,s,2293,Yea
passage,117,hres,1499,Nay
passage,117,hres,1361,Nay
passage,117,s,4524,Nay
passage-suspension,117,,,Yea
passage-suspension,117,s,3846,Not Voting
passage,117,hr,6448,Yea
passage,117,hres,1396,Nay
passage-suspension,117,hr,8888,Yea
passage-suspension,117,hr,4785,Yea
passage,117,hr,3843,Nay
passage-suspension,117,hr,7321,Yea
passage,117,hr,6878,Yea
passage,117,hr,3372,Nay
passage-suspension,117,hr,6965,Nay
passage,117,hr,7780,Nay
passage-suspension,117,s,4900,Yea
passage-suspension,117,,,Yea
passage-suspension,117,hr,3482,Yea
passage-suspension,117,s,3662,Yea
passage,117,hres,1377,Nay
passage,117,hr,8326,Nay
passage,117,hr,302,Nay
passage,117,s,1942,Nay
passage,117,hres,1531,Nay
passage,117,hr,2617,Nay
passage-suspension,117,,,Yea
passage,117,s,4003,Nay
passage,117,hr,8404,Nay
passage-suspension,117,hr,7939,Yea
passage-suspension,117,s,3773,Yea
passage,117,hres,1510,Nay
passage,117,s,3905,Nay
passage,117,hr,1437,Nay
passage-suspension,117,s,4052,Yea
passage-suspension,117,s,4926,Yea
passage-suspension,117,s,5168,Yea
passage-suspension,117,s,2333,Yea
passage-suspension,117,s,2834,Yea
passage,117,hr,7946,Nay
passage-suspension,117,,,Yea
passage,117,hr,8873,Nay
passage,117,hr,6833,Nay
passage-suspension,117,s,3369,Nay
passage-suspension,117,hr,3630,Yea
passage-suspension,117,hr,8446,Nay
passage-suspension,117,hr,5441,Nay
passage-suspension,117,hr,1456,Nay
passage,117,hres,1339,Nay
passage-suspension,117,hr,5315,Nay
passage,117,hres,1464,Nay
passage,117,hres,1372,Nay
passage-suspension,117,s,2794,Yea
passage-suspension,117,hr,2250,Yea
passage,117,s,1098,Nay
passage-suspension,117,s,4359,Yea
passage,117,hr,8987,Yea
passage-suspension,117,hr,1066,Nay
passage,117,hr,2988,Nay
passage-suspension,117,s,442,Yea
passage-suspension,117,s,3157,Yea
passage,117,hr,8542,Nay
passage-suspension,117,s,3115,Yea
passage-suspension,117,s,2551,Yea
passage,117,hjres,100,Yea
passage-suspension,117,hr,2521,Nay
passage-suspension,117,s,3470,Yea
passage-suspension,117,s,3895,Yea
passage-suspension,117,hr,8466,Nay
passage-suspension,117,,,Yea
passage,117,hconres,119,Nay
passage-suspension,117,s,958,Yea
passage,117,hr,4118,Nay
passage-suspension,117,s,231,Yea
passage,117,hr,5768,Yea
passage-suspension,117,hr,7535,Yea
passage-suspension,117,s,5230,Yea
passage,117,hres,1518,Nay
passage-suspension,117,s,1617,Yea
passage-suspension,117,s,4834,Yea
passage-suspension,117,s,989,Yea
passage-suspension,117,s,5087,Yea
passage,117,hr,8393,Nay
passage-suspension,117,hres,1512,Yea
passage-suspension,117,s,1466,Yea
passage,117,hres,1519,Nay
passage-suspension,117,s,4104,Yea
passage-suspension,117,s,1402,Yea
passage,118,hr,2925,Yea
passage-suspension,118,hr,7521,Yea
passage-suspension,118,s,546,Yea
passage-suspension,118,hr,4755,Yea
passage-suspension,118,hres,966,Yea
passage-suspension,118,hr,4866,Yea
passage-suspension,118,hres,149,Yea
passage,118,hr,6679,Yea
passage,118,hr,4691,Yea
passage,118,hr,6918,Yea
passage,118,hr,8771,Yea
passage,118,hjres,98,Yea
passage-suspension,118,hr,3250,Yea
passage,118,hr,6914,Yea
passage,118,hr,4639,Yea
passage-suspension,118,s,3427,Yea
passage-suspension,118,hr,5826,Yea
passage,118,hr,8034,Yea
passage,118,hr,529,Yea
passage-suspension,118,hr,7659,Yea
passage-suspension,118,hr,4723,Yea
passage-suspension,118,hr,886,Nay
passage-suspension,118,hr,6603,Yea
passage-suspension,118,hr,5528,Yea
passage,118,hr,6678,Yea
passage,118,hr,6046,Yea
passage,118,hres,969,Yea
passage,118,hr,8752,Yea
passage,118,hr,5947,Yea
passage-suspension,118,hr,2754,Yea
passage-suspension,118,s,2051,Yea
passage-suspension,118,hr,6543,Yea
passage,118,hres,1316,Yea
passage,118,hr,8146,Yea
passage-suspension,118,hr,3950,Yea
passage-suspension,118,hr,2789,Yea
passage-suspension,118,hr,2964,Nay
