Category:,Congress,Bill Type,Bill Number,Vote Position
passage,102,s,474,Nay
passage,102,s,479,Yea
passage,102,hconres,292,Yea
passage,102,hr,4312,Yea
passage,102,hr,4210,Nay
passage,102,hr,5260,Yea
passage,102,s,1306,Yea
passage,102,hconres,287,Yea
passage,102,sres,324,Yea
passage,102,hr,2507,Yea
passage,102,sres,330,Yea
passage,102,s,2482,Nay
veto-override,102,s,5,Nay
passage,102,hr,5427,Yea
passage,102,hr,5488,Yea
passage,102,hr,429,Yea
passage,102,hr,5678,Yea
passage,102,hr,5368,Yea
passage,102,hr,11,Yea
passage,102,hr,5504,Yea
veto-override,102,s,250,Nay
passage,102,hr,5677,Yea
veto-override,102,s,3,Nay
passage,102,hr,3337,Yea
passage,102,hr,4095,Yea
passage,102,s,2166,Yea
passage,102,s,2743,Yea
passage,102,hr,5487,Yea
passage,102,s,2877,Yea
passage,102,sres,248,Yea
passage,102,sres,277,Yea
passage,102,s,2532,Yea
veto-override,102,hr,2212,Nay
passage,102,sconres,120,Yea
passage,102,s,1696,Yea
passage,102,hr,2507,Yea
passage,102,s,1150,Yea
passage,102,s,792,Yea
passage,102,s,1985,Yea
passage,102,hr,4210,Nay
passage,102,s,250,Nay
passage,102,s,2,Yea
passage,102,hr,5518,Yea
passage,102,hjres,456,Yea
passage,102,hr,2212,Nay
passage,102,hr,2977,Yea
veto-override,102,s,323,Nay
passage,102,,,Yea
passage,102,hr,5427,Nay
veto-override,102,s,12,Yea
veto-override,102,hr,5318,Nay
passage,102,hr,5620,Yea
passage,102,hr,11,Yea
passage,102,s,12,Yea
passage,102,hr,11,Yea
passage,102,hr,5132,Nay
passage,102,hjres,517,Yea
passage,102,sres,298,Yea
passage,102,s,12,Yea
passage,102,hr,5679,Yea
passage,102,s,3,Nay
passage,102,s,2733,Yea
passage,102,hr,4990,Yea
passage,102,hr,776,Yea
passage,102,hr,2212,Nay
passage,102,hr,3,Yea
passage,102,hr,2707,Yea
passage,102,sjres,2,Nay
passage,102,sconres,2,Yea
passage,102,hr,4,Yea
passage,102,s,100,Yea
passage,102,hjres,374,Yea
passage,102,s,1722,Nay
passage,102,hr,3435,Yea
passage,102,s,455,Yea
passage,102,sjres,110,Yea
passage,102,sres,214,Yea
passage,102,hr,2521,Nay
passage,102,hr,2508,Nay
veto-override,102,s,1722,Nay
passage,102,sres,186,Yea
passage,102,sres,202,Yea
passage,102,hr,1415,Yea
passage,102,hconres,121,Nay
passage,102,sres,78,Nay
passage,102,sjres,44,Nay
passage,102,hr,2698,Yea
passage,102,hr,2942,Yea
passage,102,s,173,Yea
passage,102,hr,707,Yea
passage,102,sres,62,Nay
