Category:,Congress,Bill Type,Bill Number,Vote Position
passage,105,s,936,Yea
passage,105,sres,47,Yea
passage,105,sjres,22,Nay
passage,105,hr,1469,Yea
passage,105,hr,5,Yea
passage,105,hconres,84,Nay
passage,105,s,1061,Yea
passage,105,hr,2209,Yea
passage,105,hjres,94,Yea
passage,105,sres,98,Yea
passage,105,hr,2266,Yea
passage,105,s,830,Nay
passage,105,hr,2107,Yea
passage,105,s,1292,Yea
passage,105,hr,2014,Yea
passage,105,hr,1003,Yea
passage,105,s,522,Yea
passage,105,sres,109,Yea
passage,105,hr,2016,Yea
passage,105,sjres,5,Yea
passage,105,hr,2014,Nay
passage,105,hr,2158,Yea
passage,105,s,104,Nay
passage,105,s,495,Nay
passage,105,sres,55,Yea
passage,105,hr,1757,Yea
passage,105,sres,39,Yea
passage,105,s,1004,Yea
passage,105,s,543,Yea
passage,105,s,955,Yea
passage,105,hconres,84,Nay
passage,105,s,1005,Yea
passage,105,sjres,18,Yea
passage,105,hr,2264,Yea
passage,105,hr,2203,Yea
passage,105,hr,1119,Yea
passage,105,hr,2015,Yea
passage,105,s,39,Yea
passage,105,hr,2378,Yea
passage,105,s,1033,Yea
passage,105,s,1022,Yea
passage,105,hr,2169,Yea
passage,105,hr,2107,Yea
passage,105,sres,120,Yea
passage,105,hr,2016,Yea
passage,105,hjres,97,Yea
passage,105,s,858,Yea
passage,105,hjres,36,Yea
passage,105,hr,1871,Yea
passage,105,hr,1122,Nay
passage,105,s,1023,Yea
passage,105,s,923,Yea
passage,105,s,947,Nay
passage,105,sjres,1,Nay
passage,105,s,1150,Yea
passage,105,hr,3579,Yea
passage,105,hr,1273,Yea
passage,105,hr,2676,Yea
passage,105,hr,1385,Yea
passage,105,hr,2676,Yea
passage,105,hr,4328,Yea
passage,105,sconres,78,Yea
passage,105,s,2057,Yea
passage,105,s,2307,Yea
passage,105,s,2334,Yea
passage,105,s,2260,Yea
passage,105,hr,3616,Yea
passage,105,s,1092,Nay
passage,105,hr,4104,Yea
passage,105,hr,4057,Yea
passage,105,hr,6,Yea
passage,105,s,1244,Yea
passage,105,s,1260,Yea
passage,105,hr,4194,Yea
passage,105,sconres,90,Yea
passage,105,hr,2646,Nay
passage,105,hr,1757,Nay
passage,105,s,442,Yea
passage,105,hr,2646,Nay
passage,105,hr,2709,Yea
passage,105,s,1723,Yea
passage,105,sconres,85,Yea
passage,105,s,1575,Nay
passage,105,hr,2400,Yea
passage,105,hr,2431,Yea
passage,105,sres,187,Yea
passage,105,hr,4059,Yea
passage,105,hr,4101,Nay
passage,105,hr,4103,Yea
passage,105,hr,4101,Yea
passage,105,hr,6,Yea
passage,105,hr,4103,Yea
passage,105,hr,629,Nay
passage,105,hr,1151,Yea
veto-override,105,hr,1122,Nay
passage,105,hr,3150,Yea
passage,105,hr,4112,Yea
veto-override,105,hr,2631,Yea
passage,105,sjres,42,Nay
passage,105,s,2138,Yea
passage,105,sconres,107,Yea
passage,105,s,1618,Yea
passage,105,s,1668,Yea
passage,105,s,2037,Yea
passage,105,sconres,86,Nay
passage,105,s,2282,Yea
passage,106,hr,4576,Yea
passage,106,s,1134,Nay
passage,106,hr,833,Nay
passage,106,hr,1000,Yea
passage,106,s,2097,Yea
passage,106,hr,4733,Nay
passage,106,hjres,126,Yea
passage,106,hjres,119,Yea
passage,106,hr,4578,Yea
passage,106,hjres,109,Yea
passage,106,hr,4475,Yea
passage,106,hjres,120,Yea
passage,106,hr,3244,Yea
passage,106,hr,4444,Yea
passage,106,hr,4516,Yea
passage,106,hjres,116,Yea
passage,106,hr,4811,Yea
passage,106,hr,4942,Nay
passage,106,hr,4578,Yea
passage,106,hr,4205,Yea
passage,106,hr,4635,Yea
passage,106,hr,4810,Nay
passage,106,hr,2559,Yea
veto-override,106,s,1287,Nay
passage,106,s,2323,Yea
passage,106,hr,4475,Yea
passage,106,hr,4762,Yea
passage,106,hr,5,Yea
passage,106,s,761,Yea
passage,106,s,1287,Nay
passage,106,hr,4205,Yea
passage,106,hr,2559,Yea
passage,106,hr,434,Nay
passage,106,hr,4577,Nay
passage,106,hr,4516,Nay
passage,106,hjres,127,Yea
passage,106,hjres,118,Yea
passage,106,s,2045,Yea
passage,106,hr,2415,Nay
passage,106,hjres,110,Yea
passage,106,hjres,117,Yea
passage,106,s,2796,Yea
passage,106,hr,4576,Yea
passage,106,hr,4733,Yea
passage,106,hr,4810,Nay
passage,106,hjres,115,Yea
passage,106,hr,4461,Yea
passage,106,hr,4461,Yea
passage,106,hr,4635,Yea
passage,106,hr,782,Yea
passage,106,hjres,111,Yea
passage,106,s,2508,Yea
passage,106,hconres,290,Nay
passage,106,hr,1883,Yea
passage,106,hr,4425,Yea
passage,106,sjres,14,Nay
passage,106,hr,8,Nay
passage,106,hconres,303,Nay
passage,106,hconres,290,Nay
passage,106,hr,1906,Nay
passage,106,hr,2606,Nay
passage,106,hr,1905,Yea
passage,106,sres,57,Yea
passage,106,s,886,Yea
passage,106,s,257,Yea
passage,106,sconres,21,Yea
passage,106,s,1692,Nay
passage,106,s,1186,Yea
passage,106,hconres,92,Yea
passage,106,hr,2488,Nay
passage,106,hr,2605,Yea
passage,106,sres,186,Nay
passage,106,sres,187,Yea
passage,106,sjres,33,Yea
passage,106,s,1344,Nay
passage,106,s,531,Not Voting
passage,106,s,1205,Yea
passage,106,hconres,68,Nay
passage,106,hr,434,Nay
passage,106,s,900,Yea
passage,106,hconres,68,Nay
passage,106,s,1234,Yea
passage,106,s,4,Yea
passage,106,s,314,Yea
passage,106,s,1122,Yea
passage,106,hr,1376,Yea
passage,106,s,331,Yea
passage,106,hr,800,Yea
passage,106,s,900,Nay
passage,106,sres,7,Yea
passage,106,hr,2084,Not Voting
passage,106,sres,45,Yea
passage,106,sres,33,Yea
passage,106,,,Nay
passage,106,s,643,Yea
passage,106,hr,3194,Yea
passage,106,sres,94,Yea
passage,106,,,Yea
passage,106,hr,1180,Yea
passage,106,s,254,Yea
passage,106,hr,3064,Nay
passage,106,hr,1664,Yea
passage,106,hr,2684,Yea
passage,106,sconres,5,Yea
passage,106,s,1650,Yea
passage,106,hr,2561,Yea
passage,106,hr,2466,Yea
passage,106,hjres,68,Yea
passage,106,s,335,Yea
passage,106,hr,2490,Yea
passage,106,s,1059,Yea
passage,106,hr,2587,Nay
passage,106,sres,160,Nay
passage,106,hr,2084,Yea
passage,106,s,1429,Nay
passage,106,hr,1141,Yea
