Category:,Congress,Bill Type,Bill Number,Vote Position
passage,118,hr,7463,Yea
passage,118,s,4072,Nay
veto-override,118,sjres,32,Nay
passage,118,sjres,61,Nay
veto-override,118,sjres,38,Nay
passage,118,hr,7888,Nay
passage,118,sjres,57,Nay
passage,118,s,3853,Yea
passage,118,hjres,109,Nay
passage,118,hr,2882,Nay
passage,118,sjres,58,Nay
passage,118,hjres,98,Nay
passage,118,hr,2882,Yea
passage,118,s,870,Yea
passage,118,hr,2882,Nay
passage,118,hr,815,Yea
passage,118,hr,3935,Yea
passage,118,sjres,62,Nay
passage,118,hr,2872,Yea
passage,118,hr,815,Yea
passage,118,hr,6363,Yea
passage,118,sres,417,Not Voting
passage,118,sjres,32,Not Voting
passage,118,sjres,42,Nay
passage,118,hr,2670,Yea
passage,118,sjres,43,Nay
passage,118,hr,4366,Yea
passage,118,hr,662,Nay
passage,118,sjres,38,Nay
