Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,117,hr,3197,Yea
passage-suspension,117,hr,203,Nay
passage,117,hr,963,Nay
passage-suspension,117,hr,700,Nay
passage,117,hres,1508,Nay
passage-suspension,117,hr,2954,Yea
passage-suspension,117,hr,6899,Nay
passage,117,hr,7900,Nay
passage-suspension,117,hr,5001,Nay
passage-suspension,117,hr,6871,Nay
passage,117,hr,9640,Nay
passage-suspension,117,hr,1437,Nay
passage,117,hres,1232,Nay
passage,117,hr,1948,Nay
passage-suspension,117,hr,3539,Yea
passage-suspension,117,hr,8454,Nay
passage,117,hres,1256,Nay
passage,117,hr,3485,Nay
passage-suspension,117,s,3168,Nay
passage-suspension,117,hr,7077,Nay
passage-suspension,117,s,3527,Yea
passage-suspension,117,hr,3359,Nay
passage-suspension,117,s,3499,Yea
passage-suspension,117,s,812,Yea
passage,117,hres,900,Nay
passage,117,hr,3617,Nay
passage-suspension,117,s,2959,Nay
passage-suspension,117,hr,1916,Nay
passage,117,hres,1224,Nay
passage-suspension,117,hr,6089,Nay
passage-suspension,117,hr,923,Nay
passage-suspension,117,hr,1917,Yea
passage-suspension,117,s,66,Yea
passage,117,hr,8296,Nay
passage-suspension,117,hr,4738,Nay
passage-suspension,117,s,2796,Nay
passage-suspension,117,s,1760,Nay
passage-suspension,117,hr,7734,Nay
passage-suspension,117,hr,2842,Nay
passage-suspension,117,s,1872,Yea
passage,117,hres,1529,Nay
passage-suspension,117,hr,5659,Nay
passage-suspension,117,hr,6868,Nay
passage-suspension,117,s,3875,Nay
passage-suspension,117,hr,1934,Nay
passage-suspension,117,s,2629,Nay
passage-suspension,117,hr,6531,Nay
passage-suspension,117,s,3308,Nay
passage-suspension,117,hr,224,Yea
passage-suspension,117,hr,7337,Nay
passage,117,hr,8876,Not Voting
passage,117,hres,979,Nay
passage-suspension,117,hr,5271,Nay
passage-suspension,117,hr,6930,Nay
passage-suspension,117,hr,5657,Not Voting
passage-suspension,117,hr,4693,Nay
passage-suspension,117,hr,7174,Nay
passage-suspension,117,s,452,Yea
passage-suspension,117,hr,7352,Yea
passage,117,hr,1808,Nay
passage-suspension,117,s,3451,Not Voting
passage-suspension,117,hr,5774,Yea
passage,117,hr,7606,Nay
passage-suspension,117,s,4785,Yea
passage-suspension,117,hr,5879,Nay
passage-suspension,117,,,Nay
passage,117,hres,1316,Nay
passage-suspension,117,s,4003,Nay
passage-suspension,117,hr,8463,Nay
passage-suspension,117,hr,2724,Yea
passage-suspension,117,hr,6943,Nay
passage,117,hres,1404,Nay
passage-suspension,117,,,Nay
passage-suspension,117,hr,5455,Nay
passage-suspension,117,,,Nay
passage-suspension,117,hr,7335,Yea
passage,117,s,2938,Nay
passage-suspension,117,s,2490,Nay
passage-suspension,117,hr,884,Nay
passage,117,hr,5376,Nay
passage-suspension,117,hr,7622,Nay
passage-suspension,117,hr,7283,Not Voting
passage-suspension,117,s,2293,Nay
passage-suspension,117,hr,7334,Yea
passage-suspension,117,hr,7777,Nay
passage-suspension,117,hres,1125,Yea
passage,117,hres,1499,Nay
passage,117,hres,1361,Nay
passage-suspension,117,hr,5738,Yea
passage,117,s,4524,Nay
passage-suspension,117,hr,2992,Nay
passage-suspension,117,,,Nay
passage,117,hres,860,Nay
passage-suspension,117,s,4089,Nay
passage-suspension,117,s,3846,Nay
passage-suspension,117,hr,7153,Yea
passage,117,hr,6448,Nay
passage,117,hres,1396,Nay
passage-suspension,117,s,2514,Yea
passage-suspension,117,hr,8888,Nay
passage-suspension,117,hr,4785,Nay
passage,117,hres,1153,Nay
passage,117,hr,3843,Nay
passage,117,hres,1124,Nay
passage-suspension,117,hr,7321,Nay
passage,117,hr,6878,Yea
passage-suspension,117,hr,5407,Nay
passage,117,hr,4176,Nay
passage-suspension,117,hr,7667,Nay
passage,117,hres,1204,Nay
passage-suspension,117,hr,7776,Nay
passage,117,hr,3372,Nay
passage-suspension,117,hr,6965,Nay
passage,117,hr,7780,Nay
passage-suspension,117,s,4900,Nay
passage-suspension,117,,,Nay
passage-suspension,117,hr,3482,Nay
passage-suspension,117,hr,7500,Yea
passage-suspension,117,s,3662,Nay
passage-suspension,117,hr,6376,Nay
passage,117,hres,1377,Nay
passage,117,s,2938,Nay
passage-suspension,117,hr,7694,Nay
passage,117,hr,4346,Nay
passage,117,hres,1289,Nay
passage,117,hr,2377,Nay
passage,117,hr,8326,Nay
passage-suspension,117,s,2089,Nay
passage,117,hr,302,Nay
passage-suspension,117,hr,7108,Nay
passage,117,s,1942,Nay
passage-suspension,117,s,583,Nay
passage,117,hr,4445,Nay
passage,117,hres,1531,Nay
passage,117,hr,3807,Nay
passage-suspension,117,hres,831,Nay
passage-suspension,117,hr,4476,Nay
passage,117,hr,2617,Nay
passage-suspension,117,,,Nay
passage-suspension,117,,,Nay
passage-suspension,117,hres,956,Yea
passage,117,hres,1254,Nay
passage,117,s,3522,Nay
passage,117,hr,8404,Nay
passage,117,s,4003,Nay
passage-suspension,117,hr,5616,Nay
passage-suspension,117,hr,6824,Nay
passage,117,hr,8404,Nay
passage-suspension,117,hr,3508,Yea
passage-suspension,117,hr,5343,Nay
passage-suspension,117,hr,7289,Nay
passage-suspension,117,hr,5547,Nay
passage-suspension,117,hr,6825,Nay
passage-suspension,117,hr,5681,Nay
passage-suspension,117,hr,5689,Nay
passage-suspension,117,hr,5641,Nay
passage-suspension,117,hr,7939,Nay
passage-suspension,117,hr,6968,Nay
passage-suspension,117,s,3773,Nay
passage-suspension,117,hr,6552,Nay
passage-suspension,117,hr,5658,Nay
passage-suspension,117,hconres,70,Yea
passage-suspension,117,s,2938,Nay
passage,117,hr,2499,Nay
passage-suspension,117,s,658,Nay
passage,117,hres,1510,Nay
passage-suspension,117,hr,209,Yea
passage-suspension,117,hr,5673,Nay
passage,117,hr,5129,Nay
passage,117,hr,2471,Nay
passage,117,hres,1065,Nay
passage,117,s,3905,Nay
passage,117,hres,950,Nay
passage,117,hr,3967,Nay
passage,117,hr,1437,Nay
passage-suspension,117,s,144,Nay
passage,117,s,3373,Nay
passage,117,hr,4673,Nay
passage-suspension,117,hres,1168,Not Voting
passage-suspension,117,hres,833,Nay
passage-suspension,117,hr,4133,Nay
passage,117,hr,6538,Nay
passage-suspension,117,s,4052,Nay
passage-suspension,117,hres,720,Nay
passage-suspension,117,hr,6865,Nay
passage-suspension,117,hr,6891,Nay
passage-suspension,117,hr,3113,Yea
passage-suspension,117,hr,6873,Nay
passage-suspension,117,hr,4380,Nay
passage,117,hr,2116,Nay
passage-suspension,117,hr,5900,Yea
passage-suspension,117,hconres,45,Yea
passage-suspension,117,hr,7066,Nay
passage-suspension,117,hr,2324,Yea
passage,117,hr,6929,Nay
passage-suspension,117,s,4926,Nay
passage-suspension,117,hr,847,Nay
passage,117,hr,8297,Nay
passage-suspension,117,hr,5914,Nay
passage-suspension,117,s,5168,Nay
passage-suspension,117,hr,7180,Nay
passage-suspension,117,hr,55,Yea
passage-suspension,117,hr,7108,Nay
passage-suspension,117,hr,5274,Yea
passage-suspension,117,hr,7311,Nay
passage-suspension,117,hr,3344,Nay
passage-suspension,117,hr,521,Yea
passage-suspension,117,hr,5577,Yea
passage,117,hr,6833,Nay
passage-suspension,117,s,321,Yea
passage-suspension,117,hr,3588,Nay
passage-suspension,117,hr,5911,Nay
passage-suspension,117,hres,1130,Nay
passage-suspension,117,s,2333,Nay
passage-suspension,117,s,2834,Yea
passage-suspension,117,hr,8351,Yea
passage-suspension,117,hr,5324,Nay
passage-suspension,117,hr,735,Yea
passage-suspension,117,hres,892,Yea
passage-suspension,117,hr,1621,Yea
passage-suspension,117,hr,6386,Yea
passage,117,hr,7946,Nay
passage-suspension,117,hr,6434,Nay
