Category:,Congress,Bill Type,Bill Number,Vote Position
passage,113,s,954,Yea
passage,113,sres,16,Yea
passage,113,hr,152,Yea
passage,113,sconres,8,Yea
passage,113,s,815,Yea
passage,113,hr,527,Yea
passage,113,hjres,59,Yea
passage,113,hr,2775,Yea
passage,113,hr,933,Yea
passage,113,s,744,Yea
passage,113,s,47,Yea
passage,113,hr,325,Yea
passage,113,sres,65,Yea
passage,113,sres,15,Yea
passage,113,s,601,Yea
passage,113,hr,1911,Yea
passage,113,s,743,Yea
passage,113,hjres,59,Yea
passage,113,hr,3304,Yea
passage,113,sconres,28,Yea
passage,113,s,540,Yea
passage,113,hr,4302,Yea
passage,113,hr,3230,Yea
passage,113,s,25,Yea
passage,113,hr,3979,Yea
passage,113,s,2280,Nay
passage,113,hr,83,Yea
passage,113,s,1926,Yea
passage,113,hr,2642,Yea
passage,113,hr,5771,Yea
passage,113,hjres,106,Yea
passage,113,s,1917,Yea
passage,113,hr,3230,Yea
passage,113,s,2244,Yea
passage,113,hr,5021,Yea
passage,113,hjres,124,Yea
passage,113,hr,803,Yea
passage,113,s,1086,Yea
passage,113,hr,3547,Yea
passage,113,hr,3370,Yea
passage,113,hr,3979,Yea
passage,113,s,1086,Yea
passage,113,hr,3080,Yea
passage,114,sjres,8,Nay
passage,114,hr,1191,Yea
passage,114,hr,26,Yea
passage,114,hr,203,Yea
passage,114,hr,2,Yea
veto-override,114,s,1,Nay
passage,114,sconres,16,Yea
passage,114,hr,3236,Yea
passage,114,hr,1314,Yea
passage,114,hr,22,Nay
passage,114,hr,719,Yea
passage,114,hr,2146,Nay
passage,114,sconres,11,Nay
passage,114,sjres,23,Nay
passage,114,hr,22,Yea
passage,114,hr,1314,Nay
passage,114,sjres,24,Nay
passage,114,hr,2029,Yea
passage,114,s,1356,Yea
passage,114,hr,644,Yea
passage,114,s,295,Yea
passage,114,hr,3762,Nay
passage,114,hr,1295,Yea
passage,114,sconres,11,Nay
passage,114,hr,240,Yea
passage,114,s,754,Yea
passage,114,sjres,22,Nay
passage,114,hr,2048,Yea
passage,114,hr,1735,Yea
passage,114,hr,1735,Yea
passage,114,s,1177,Yea
passage,114,s,1,Nay
passage,114,s,1177,Yea
passage,114,hr,2029,Yea
passage,114,s,178,Yea
passage,114,s,524,Yea
passage,114,s,2328,Yea
passage,114,s,524,Yea
passage,114,hr,636,Yea
passage,114,hr,5985,Yea
passage,114,hr,34,Yea
passage,114,hr,2028,Yea
passage,114,s,2943,Yea
passage,114,sjres,28,Yea
passage,114,sres,374,Yea
passage,114,hr,5325,Yea
passage,114,hr,757,Yea
veto-override,114,s,2040,Yea
passage,114,s,2848,Yea
passage,114,s,1890,Yea
passage,114,s,764,Nay
passage,114,s,2012,Yea
passage,114,s,2943,Yea
passage,114,sres,377,Yea
passage,114,hr,644,Nay
passage,114,s,2873,Yea
passage,114,hr,636,Yea
passage,114,hr,2028,Yea
passage,114,hr,2577,Yea
passage,114,s,612,Yea
passage,114,s,2613,Yea
passage,114,hjres,88,Nay
passage,114,hr,4511,Yea
passage,114,hr,6297,Yea
passage,115,hr,1,Nay
passage,115,hjres,66,Nay
passage,115,hjres,83,Nay
passage,115,hr,2430,Yea
passage,115,sjres,34,Nay
passage,115,hjres,41,Nay
passage,115,hr,244,Yea
passage,115,hr,1370,Yea
passage,115,hr,3364,Yea
passage,115,hjres,40,Nay
passage,115,hjres,69,Nay
passage,115,hconres,71,Nay
passage,115,hjres,38,Nay
passage,115,hjres,37,Nay
passage,115,hr,601,Yea
passage,115,sconres,3,Nay
passage,115,hr,72,Yea
passage,115,hjres,42,Nay
passage,115,s,89,Yea
passage,115,s,84,Yea
passage,115,hjres,67,Nay
passage,115,hjres,123,Yea
passage,115,s,722,Yea
passage,115,hr,2266,Yea
passage,115,hjres,111,Nay
passage,115,hr,1,Nay
passage,115,sres,176,Yea
passage,115,hjres,44,Nay
passage,115,hjres,43,Nay
passage,115,hjres,58,Nay
passage,115,hjres,57,Nay
passage,115,hr,2810,Yea
passage,115,s,1182,Yea
passage,115,hr,1865,Yea
passage,115,hr,6147,Yea
passage,115,hr,5515,Yea
passage,115,hr,2,Yea
passage,115,hr,5515,Yea
passage,115,sjres,54,Yea
passage,115,hr,2,Yea
passage,115,sjres,64,Yea
passage,115,hr,302,Yea
passage,115,sjres,63,Yea
passage,115,hr,6,Yea
passage,115,hr,6,Yea
passage,115,hr,195,Yea
passage,115,hr,6157,Yea
passage,115,hr,1625,Yea
passage,115,sjres,52,Yea
passage,115,s,2155,Not Voting
passage,115,hr,1892,Yea
passage,115,s,2554,Yea
passage,115,hr,5895,Yea
passage,115,hr,6157,Yea
passage,115,s,140,Yea
passage,115,s,3021,Yea
passage,115,s,756,Yea
passage,115,sjres,57,Nay
passage,115,sres,584,Yea
passage,115,s,139,Nay
passage,115,s,2372,Yea
passage,115,hr,5895,Yea
passage,116,hr,2157,Yea
passage,116,sjres,53,Yea
passage,116,s,151,Yea
passage,116,hr,3055,Yea
veto-override,116,sjres,7,Yea
veto-override,116,sjres,54,Yea
passage,116,s,1790,Yea
veto-override,116,sjres,37,Yea
veto-override,116,sjres,38,Yea
passage,116,s,1790,Yea
passage,116,hr,1865,Yea
passage,116,hr,3055,Yea
passage,116,sres,212,Yea
