Category:,Congress,Bill Type,Bill Number,Vote Position
passage,102,hr,4318,Not Voting
passage-suspension,102,hr,5237,Yea
passage,102,hres,425,Nay
passage-suspension,102,hr,4276,Yea
passage,102,hr,5334,Yea
passage,102,hres,393,Yea
passage,102,hr,3724,Not Voting
passage-suspension,102,s,1699,Nay
passage-suspension,102,hr,5475,Nay
passage,102,hres,463,Yea
passage-suspension,102,hr,3490,Yea
passage,102,hres,529,Not Voting
passage,102,hres,303,Yea
passage-suspension,102,hr,2152,Yea
passage,102,hres,462,Yea
passage-suspension,102,hjres,414,Yea
passage-suspension,102,hconres,320,Yea
passage,102,hres,474,Yea
passage,102,hres,432,Yea
passage,102,hres,396,Yea
passage,102,hr,5191,Not Voting
passage-suspension,102,hres,433,Yea
passage,102,hres,430,Yea
passage,102,hr,3337,Yea
passage-suspension,102,hconres,239,Yea
passage-suspension,102,hr,4113,Yea
passage,102,hr,4990,Yea
passage,102,hconres,287,Yea
passage-suspension,102,hr,3337,Yea
passage,102,hres,513,Yea
passage-suspension,102,hr,5419,Yea
passage-suspension,102,hconres,268,Yea
passage,102,hres,602,Yea
passage,102,hres,603,Yea
passage-suspension,102,hr,3281,Yea
passage,102,hjres,502,Yea
passage-suspension,102,hr,3562,Yea
passage,102,hr,3247,Yea
passage-suspension,102,s,2681,Yea
passage-suspension,102,hr,4095,Yea
passage,102,hr,776,Yea
passage-suspension,102,hr,1989,Yea
passage-suspension,102,hr,6179,Yea
passage,102,hr,5055,Yea
passage,102,hres,587,Yea
passage,102,hjres,517,Nay
passage-suspension,102,s,2481,Yea
passage,102,hres,501,Yea
passage,102,s,3144,Yea
passage,102,hr,5679,Nay
passage,102,hres,505,Yea
passage,102,s,1306,Yea
passage-suspension,102,hr,2164,Nay
passage,102,hr,5006,Not Voting
passage,102,hr,5677,Yea
passage,102,hr,5132,Yea
passage,102,hres,479,Yea
passage,102,hr,5679,Yea
passage-suspension,102,hr,450,Yea
passage-suspension,102,hr,5645,Nay
passage,102,hr,5260,Yea
passage,102,hr,4547,Yea
passage,102,hres,466,Yea
passage-suspension,102,hr,3209,Yea
passage,102,hr,4484,Yea
passage,102,hres,412,Yea
passage,102,hres,429,Yea
passage,102,hres,560,Yea
passage,102,hres,442,Yea
passage,102,hr,5620,Yea
passage,102,hr,4312,Yea
passage,102,hr,4111,Yea
passage-suspension,102,hr,2321,Yea
passage,102,hr,5132,Yea
passage-suspension,102,hr,5653,Nay
passage,102,hr,3090,Yea
passage,102,hres,379,Yea
passage,102,hr,5679,Yea
passage,102,hr,3603,Yea
passage,102,hr,5466,Yea
passage-suspension,102,hr,5021,Yea
passage,102,hr,2507,Not Voting
passage,102,s,323,Yea
passage,102,hres,258,Yea
passage-suspension,102,s,606,Yea
passage,102,hres,413,Not Voting
passage,102,hres,485,Yea
passage,102,s,12,Yea
passage,102,hres,427,Yea
passage,102,hr,5678,Yea
passage-suspension,102,hr,5534,Yea
passage,102,hres,374,Yea
passage-suspension,102,hr,543,Yea
passage,102,hr,5623,Yea
passage,102,s,5,Yea
passage,102,hres,571,Yea
passage,102,hres,532,Not Voting
passage,102,s,250,Yea
passage,102,hres,423,Yea
passage,102,hr,5373,Not Voting
passage,102,hr,5488,Yea
passage,102,hres,340,Yea
passage,102,hr,5334,Yea
passage,102,hr,11,Yea
passage-suspension,102,s,1704,Not Voting
passage,102,hres,601,Yea
passage-suspension,102,s,1528,Yea
passage,102,hjres,553,Yea
passage,102,hres,570,Yea
passage-suspension,102,hr,5429,Yea
passage-suspension,102,hr,5673,Yea
passage,102,hr,5100,Yea
passage,102,s,1150,Yea
passage-suspension,102,hr,5716,Yea
passage,102,hres,604,Yea
passage-suspension,102,hr,2548,Yea
passage,102,hr,5368,Yea
passage-suspension,102,s,3100,Not Voting
passage,102,hr,5678,Yea
passage,102,hr,5739,Yea
