Category:,Congress,Bill Type,Bill Number,Vote Position
passage,110,sconres,70,Yea
passage,110,s,1200,Yea
passage,110,hr,6124,Yea
passage,110,hr,3221,Yea
passage,110,hr,6049,Yea
passage,110,hr,7081,Yea
passage,110,hr,2095,Yea
passage,110,hr,6304,Yea
passage,110,hr,3221,Yea
passage,110,hr,5140,Yea
passage,110,sres,501,Yea
passage,110,hr,4040,Yea
passage,110,hr,4137,Yea
veto-override,110,hr,6124,Yea
passage,110,s,2248,Yea
veto-override,110,hr,6331,Yea
passage,110,hr,4986,Yea
passage,110,s,1315,Yea
veto-override,110,hr,2419,Yea
passage,110,hr,5501,Yea
passage,110,hr,3221,Yea
passage,110,hr,3121,Yea
passage,110,hr,493,Yea
passage,110,s,3001,Yea
passage,110,hr,2638,Yea
passage,110,hr,1424,Yea
passage,110,hr,2082,Yea
passage,110,hr,2642,Yea
passage,110,sconres,70,Yea
passage,110,hconres,398,Yea
passage,110,hr,2642,Yea
passage,110,s,2739,Yea
passage,110,hr,2642,Yea
passage,110,hr,2419,Yea
passage,110,hr,2642,Yea
passage,110,hr,1195,Yea
passage,110,hr,4040,Yea
passage,110,s,5,Nay
passage,110,hr,1591,Yea
passage,110,s,30,Yea
passage,110,hr,2764,Yea
passage,110,hr,2206,Yea
passage,110,hr,1495,Yea
passage,110,sconres,21,Yea
veto-override,110,hr,1495,Yea
passage,110,hr,6,Yea
passage,110,s,1,Yea
passage,110,hr,1429,Yea
passage,110,s,294,Yea
passage,110,hr,3688,Nay
passage,110,hr,3996,Yea
passage,110,s,1642,Yea
passage,110,hr,2669,Yea
passage,110,hr,6,Yea
passage,110,hr,3043,Yea
passage,110,s,1082,Yea
passage,110,s,214,Yea
passage,110,sjres,9,Yea
passage,110,hr,976,Yea
passage,110,hjres,43,Yea
passage,110,s,1,Yea
passage,110,s,378,Yea
passage,110,hr,976,Yea
passage,110,hr,1124,Yea
passage,110,hr,3074,Yea
passage,110,s,1927,Yea
passage,110,hjres,52,Yea
passage,110,s,4,Yea
passage,110,hr,2,Yea
passage,110,hr,1495,Yea
passage,110,hconres,67,Yea
passage,110,s,761,Yea
passage,110,sres,19,Yea
passage,110,hr,2642,Yea
passage,110,hr,3093,Yea
passage,110,hr,1591,Yea
passage,110,s,2011,Yea
passage,110,sconres,21,Yea
passage,110,hr,2669,Yea
passage,110,hr,1585,Yea
passage,110,hr,2419,Yea
passage,110,s,2338,Yea
passage,110,hr,3963,Yea
passage,110,hr,1,Yea
passage,110,hjres,44,Yea
passage,110,hr,2638,Yea
passage,110,hr,1585,Yea
passage,110,sres,107,Yea
passage,110,hjres,20,Yea
passage,110,sconres,20,Yea
passage,111,hr,2892,Yea
passage,111,hr,3326,Yea
passage,111,sconres,13,Yea
passage,111,hr,3326,Yea
passage,111,sjres,5,Nay
passage,111,hr,3082,Yea
passage,111,hr,3183,Yea
passage,111,s,22,Yea
passage,111,hr,1,Yea
passage,111,hr,2847,Yea
passage,111,s,454,Yea
passage,111,hr,2997,Yea
passage,111,hr,2346,Yea
passage,111,hr,3288,Yea
passage,111,s,1390,Yea
passage,111,hr,2892,Yea
passage,111,s,1023,Yea
passage,111,hr,2918,Yea
passage,111,hr,2346,Yea
passage,111,hr,3590,Yea
passage,111,hr,2996,Yea
passage,111,s,160,Yea
passage,111,s,1963,Yea
passage,111,hr,627,Yea
passage,111,hr,4314,Yea
passage,111,hr,1,Yea
passage,111,hr,3288,Yea
passage,111,hr,2997,Yea
passage,111,hr,2647,Yea
passage,111,hr,1388,Yea
passage,111,s,386,Yea
passage,111,s,896,Yea
passage,111,hr,2,Yea
