Category:,Congress,Bill Type,Bill Number,Vote Position
passage,114,s,1,Yea
passage,114,hr,3504,Yea
passage-suspension,114,hconres,25,Yea
passage,114,hres,315,Yea
passage,114,hres,347,Yea
passage,114,hres,305,Yea
passage,114,hres,42,Yea
passage,114,hres,462,Yea
passage,114,hr,2029,Yea
passage-suspension,114,hr,1020,Yea
passage-suspension,114,hr,203,Yea
passage-suspension,114,hr,294,Yea
passage-suspension,114,hr,23,Nay
passage-suspension,114,hres,348,Yea
passage,114,hres,27,Not Voting
passage-suspension,114,hres,162,Yea
passage,114,hr,685,Yea
passage,114,hr,2029,Yea
passage,114,hr,2685,Yea
passage-suspension,114,hr,322,Yea
passage,114,hres,461,Yea
passage,114,hr,644,Yea
passage-suspension,114,hr,360,Yea
passage-suspension,114,hr,33,Yea
passage,114,hres,129,Yea
passage,114,hr,2393,Yea
passage,114,hr,1937,Yea
passage,114,hr,3,Yea
passage-suspension,114,hr,1313,Not Voting
passage,114,hr,3236,Yea
passage-suspension,114,hr,675,Yea
passage,114,hr,2048,Yea
passage,114,hr,2028,Yea
passage-suspension,114,hr,91,Yea
passage,114,hr,2250,Yea
passage-suspension,114,s,1170,Yea
passage,114,hr,1994,Yea
passage-suspension,114,hr,2722,Yea
passage-suspension,114,hr,158,Yea
passage,114,hres,260,Yea
passage-suspension,114,s,1090,Yea
passage-suspension,114,hr,2770,Yea
passage-suspension,114,hr,3750,Yea
passage-suspension,114,s,1482,Yea
passage,114,hr,3461,Nay
passage,114,hr,1734,Not Voting
passage,114,hr,2262,Yea
passage-suspension,114,hr,2499,Yea
passage,114,hres,526,Yea
passage,114,hr,1737,Yea
passage,114,hres,411,Yea
passage-suspension,114,hr,1214,Yea
passage-suspension,114,hr,2297,Yea
passage,114,s,1177,Yea
passage-suspension,114,hr,1656,Yea
passage-suspension,114,hr,4246,Yea
passage,114,hr,1210,Yea
passage-suspension,114,hr,1694,Yea
passage,114,hres,274,Yea
passage-suspension,114,hr,251,Yea
passage,114,hr,2578,Yea
passage,114,hr,3192,Yea
passage,114,hr,2577,Yea
passage-suspension,114,hres,354,Yea
passage-suspension,114,hr,876,Yea
passage,114,hr,597,Yea
passage,114,hr,749,Yea
passage-suspension,114,hr,1853,Yea
passage-suspension,114,hr,719,Yea
passage-suspension,114,hr,1265,Yea
passage-suspension,114,hr,361,Yea
passage-suspension,114,hr,1615,Yea
passage,114,hres,321,Yea
passage,114,hres,448,Yea
passage,114,sconres,11,Nay
passage-suspension,114,hr,651,Yea
passage,114,hres,125,Not Voting
passage,114,hr,1295,Yea
passage-suspension,114,hr,2200,Yea
passage-suspension,114,hr,647,Yea
passage-suspension,114,hr,648,Yea
passage,114,hres,507,Yea
passage,114,hr,1314,Nay
passage,114,hr,240,Yea
passage,114,hr,1295,Nay
passage,114,hres,223,Yea
passage,114,hres,338,Yea
passage,114,hr,351,Yea
passage-suspension,114,hr,1480,Yea
passage,114,hr,160,Yea
passage-suspension,114,hres,295,Yea
passage,114,hres,483,Yea
passage,114,hr,2289,Yea
passage,114,hjres,35,Yea
passage-suspension,114,hr,3350,Yea
passage-suspension,114,hr,734,Yea
passage-suspension,114,hr,431,Yea
passage,114,hr,622,Yea
passage-suspension,114,hr,1553,Yea
passage-suspension,114,hr,2559,Yea
passage-suspension,114,hr,1563,Yea
passage,114,hr,3457,Yea
passage-suspension,114,hr,91,Yea
passage-suspension,114,hr,469,Yea
passage-suspension,114,hr,3493,Yea
passage-suspension,114,hr,216,Yea
passage,114,hres,163,Yea
passage,114,hr,692,Yea
passage,114,hr,10,Yea
passage,114,hres,303,Yea
passage,114,hres,48,Yea
passage-suspension,114,hr,1562,Yea
passage-suspension,114,hres,233,Yea
passage-suspension,114,hr,4239,Yea
passage,114,hr,1735,Yea
passage-suspension,114,hr,1839,Yea
passage,114,hr,650,Yea
passage,114,hr,161,Yea
passage,114,hr,1195,Yea
passage,114,hr,2029,Yea
passage-suspension,114,hr,246,Yea
passage-suspension,114,hr,720,Yea
passage,114,hjres,43,Yea
passage-suspension,114,hr,212,Yea
passage-suspension,114,hr,2256,Yea
passage-suspension,114,hr,2146,Yea
passage,114,hres,5,Yea
passage-suspension,114,hr,2288,Yea
passage-suspension,114,hr,1300,Yea
passage-suspension,114,hr,2297,Yea
passage-suspension,114,hr,26,Yea
passage-suspension,114,hr,606,Yea
passage,114,hr,2130,Yea
passage-suspension,114,hr,308,Yea
passage-suspension,114,hr,1382,Not Voting
passage-suspension,114,hr,1384,Yea
passage,114,hres,288,Yea
passage-suspension,114,hr,3578,Yea
passage,114,hr,22,Yea
passage-suspension,114,hr,37,Yea
passage-suspension,114,hr,3842,Yea
passage-suspension,114,hr,2795,Yea
passage-suspension,114,hr,1191,Yea
passage-suspension,114,hr,1557,Yea
passage,114,hres,255,Yea
passage-suspension,114,hr,2270,Yea
passage-suspension,114,hr,22,Not Voting
passage-suspension,114,s,178,Yea
passage-suspension,114,hr,1338,Yea
passage,114,hres,271,Yea
passage-suspension,114,s,1356,Yea
passage-suspension,114,hr,1723,Yea
passage,114,hres,529,Yea
passage,114,hres,287,Yea
passage,114,hr,511,Yea
passage-suspension,114,hres,536,Yea
passage,114,hres,370,Yea
passage-suspension,114,s,1359,Yea
passage,114,sjres,23,Yea
passage-suspension,114,hr,3114,Yea
passage,114,hr,880,Yea
passage-suspension,114,hr,2997,Yea
passage,114,sjres,24,Yea
passage-suspension,114,hr,1949,Yea
passage,114,hres,412,Yea
passage-suspension,114,hr,2820,Yea
passage-suspension,114,hr,2835,Yea
passage-suspension,114,hr,615,Yea
passage,114,hconres,55,Nay
passage,114,hconres,27,Yea
passage-suspension,114,s,2082,Yea
passage-suspension,114,hr,1259,Yea
passage-suspension,114,hr,805,Yea
passage,114,hr,719,Yea
passage-suspension,114,hr,373,Yea
passage,114,hr,538,Yea
passage-suspension,114,hr,1191,Yea
passage,114,hr,1090,Yea
passage-suspension,114,hr,2576,Not Voting
passage-suspension,114,hr,1324,Yea
passage-suspension,114,hr,2786,Yea
passage,114,hr,1190,Yea
passage,114,hr,2,Yea
passage,114,hres,173,Yea
passage,114,hconres,79,Yea
passage-suspension,114,hr,623,Nay
passage,114,hres,450,Nay
passage,114,sjres,8,Yea
passage,114,hr,2017,Not Voting
passage-suspension,114,hr,4096,Yea
passage,114,hr,4890,Yea
passage-suspension,114,hr,4855,Yea
passage-suspension,114,hr,5977,Yea
passage-suspension,114,s,719,Yea
passage-suspension,114,hr,5713,Yea
passage-suspension,114,hr,757,Yea
passage-suspension,114,hr,5859,Yea
passage-suspension,114,hr,4570,Yea
passage-suspension,114,hres,658,Not Voting
passage,114,hres,635,Not Voting
passage-suspension,114,hr,5388,Yea
passage,114,hr,5293,Yea
veto-override,114,s,2040,Yea
passage,114,hres,934,Yea
passage,114,hr,4557,Yea
passage,114,hr,6392,Yea
passage-suspension,114,hr,5963,Yea
passage-suspension,114,hr,5037,Yea
passage,114,hr,5461,Yea
passage-suspension,114,hr,897,Yea
passage,114,sjres,22,Yea
passage-suspension,114,hr,5613,Yea
passage,114,hr,1270,Yea
passage,114,hr,3724,Yea
passage-suspension,114,hr,6007,Yea
passage-suspension,114,hr,4820,Yea
passage-suspension,114,hr,4314,Yea
passage-suspension,114,s,1826,Not Voting
passage,114,hr,2745,Not Voting
passage,114,hres,783,Yea
passage-suspension,114,hr,5047,Yea
passage-suspension,114,hr,5471,Yea
passage-suspension,114,hr,1567,Yea
passage-suspension,114,hr,5525,Yea
passage-suspension,114,hr,5658,Yea
passage,114,hr,5143,Yea
passage,114,hres,770,Yea
passage-suspension,114,hr,6076,Yea
passage-suspension,114,hr,4906,Not Voting
passage,114,s,304,Yea
passage-suspension,114,s,2971,Yea
passage-suspension,114,hr,4904,Not Voting
passage,114,hr,4775,Yea
passage-suspension,114,s,3028,Yea
passage,114,hres,744,Yea
passage-suspension,114,hr,3881,Yea
passage,114,hr,5243,Yea
passage,114,hr,2576,Yea
passage,114,hres,735,Yea
passage,114,hr,5631,Yea
passage-suspension,114,hr,5015,Yea
passage,114,hconres,112,Yea
passage-suspension,114,hr,6416,Yea
passage-suspension,114,hr,5607,Nay
passage-suspension,114,hr,5312,Yea
passage,114,s,764,Yea
passage-suspension,114,hr,3998,Yea
passage,114,hr,5424,Yea
passage-suspension,114,hr,5606,Nay
passage-suspension,114,hr,4939,Yea
passage,114,s,2943,Yea
passage,114,hr,4596,Yea
passage-suspension,114,hr,6014,Yea
passage-suspension,114,hr,598,Yea
passage-suspension,114,hr,2285,Yea
passage-suspension,114,hres,780,Yea
passage-suspension,114,hr,2669,Yea
passage-suspension,114,hconres,75,Yea
passage-suspension,114,hr,5625,Yea
passage-suspension,114,hr,5785,Yea
passage,114,hr,3340,Yea
passage-suspension,114,hr,4470,Yea
passage-suspension,114,hr,2901,Yea
passage,114,hr,2577,Yea
passage,114,hr,4641,Yea
passage-suspension,114,hr,6297,Yea
passage-suspension,114,hconres,121,Yea
passage-suspension,114,hr,5523,Yea
passage-suspension,114,hr,5946,Yea
passage-suspension,114,hr,3231,Yea
passage-suspension,114,hr,4416,Yea
passage-suspension,114,hr,5147,Nay
passage-suspension,114,hr,4843,Yea
passage,114,hr,1675,Yea
