Category:,Congress,Bill Type,Bill Number,Vote Position
passage,107,hr,3061,Yea
passage,107,hr,2506,Yea
passage,107,hr,2330,Yea
passage,107,hr,2299,Yea
passage,107,hconres,295,Yea
passage,107,hr,3162,Yea
passage,107,hr,1,Yea
passage,107,hr,3061,Yea
passage,107,hr,2500,Yea
passage,107,s,1447,Yea
passage,107,hr,2620,Yea
passage,107,s,1218,Yea
passage,107,s,1426,Yea
passage,107,s,1052,Yea
passage,107,hr,2904,Yea
passage,107,s,149,Yea
passage,107,sjres,23,Yea
passage,107,hr,2216,Yea
passage,107,hconres,83,Yea
passage,107,hr,1,Yea
passage,107,hr,2944,Yea
passage,107,s,248,Yea
passage,107,sjres,28,Nay
passage,107,s,350,Yea
passage,107,s,235,Yea
passage,107,hr,2330,Yea
passage,107,hr,1836,Nay
passage,107,s,27,Yea
passage,107,hr,3338,Yea
passage,107,hr,2311,Yea
passage,107,hconres,83,Nay
passage,107,s,420,Yea
passage,107,hr,2590,Yea
passage,107,hjres,51,Yea
passage,107,sjres,25,Yea
passage,107,hr,333,Yea
passage,107,s,1438,Yea
passage,107,sjres,22,Yea
passage,107,s,1450,Yea
passage,107,hr,2500,Yea
passage,107,s,1172,Yea
passage,107,hr,2311,Yea
passage,107,hr,2217,Yea
passage,107,hr,2883,Yea
passage,107,sjres,4,Yea
passage,107,hr,1836,Nay
passage,107,sjres,6,Nay
passage,107,s,320,Yea
passage,107,hr,2620,Yea
passage,107,s,1510,Yea
passage,107,hr,2904,Yea
passage,107,hr,10,Yea
passage,107,s,1438,Yea
passage,107,hr,2944,Yea
passage,107,hr,3167,Yea
passage,107,hr,4,Yea
passage,107,hr,4775,Yea
passage,107,hr,4775,Yea
passage,107,hr,5011,Yea
passage,107,hr,5010,Yea
passage,107,s,1214,Yea
passage,107,hr,3090,Nay
passage,107,s,2600,Yea
passage,107,s,2690,Yea
passage,107,hr,3763,Yea
passage,107,hr,2646,Nay
passage,107,s,2578,Nay
passage,107,sres,272,Yea
passage,107,hr,3448,Yea
passage,107,hr,2646,Yea
passage,107,hr,2356,Yea
passage,107,s,565,Yea
passage,107,s,2673,Yea
passage,107,hjres,124,Yea
passage,107,hr,3295,Yea
passage,107,hr,3009,Yea
passage,107,hr,3210,Yea
passage,107,s,812,Yea
passage,107,hr,5010,Yea
passage,107,hjres,114,Yea
passage,107,hr,5005,Yea
passage,107,hr,3275,Yea
passage,107,s,2514,Yea
passage,107,hr,5121,Yea
passage,107,hr,3009,Yea
passage,107,sres,292,Yea
passage,108,sconres,31,Yea
passage,108,hjres,2,Yea
passage,108,s,3,Yea
passage,108,s,1053,Yea
passage,108,sjres,17,Yea
passage,108,s,151,Yea
passage,108,s,476,Yea
passage,108,hr,1307,Yea
passage,108,sres,95,Yea
passage,108,hr,2660,Yea
passage,108,hr,2622,Yea
passage,108,hjres,51,Nay
passage,108,s,1689,Yea
passage,108,hr,2657,Yea
passage,108,hr,2330,Yea
passage,108,hr,2559,Yea
passage,108,hr,1588,Yea
passage,108,s,1215,Yea
passage,108,hr,2559,Yea
passage,108,hr,3161,Yea
passage,108,s,151,Yea
passage,108,hjres,2,Yea
passage,108,s,1050,Yea
passage,108,hr,2658,Yea
passage,108,hr,2555,Yea
passage,108,hconres,95,Nay
passage,108,s,113,Yea
passage,108,hr,2,Nay
passage,108,hr,2739,Yea
passage,108,sres,71,Yea
passage,108,sres,45,Yea
passage,108,s,121,Yea
passage,108,hr,6,Yea
passage,108,s,762,Yea
passage,108,hr,2738,Yea
passage,108,s,3,Yea
passage,108,hr,2691,Yea
passage,108,s,1,Yea
passage,108,s,504,Yea
passage,108,hr,2658,Yea
passage,108,s,877,Yea
passage,108,hr,1,Yea
passage,108,hr,2673,Yea
passage,108,hr,2989,Yea
passage,108,hr,1904,Nay
passage,108,hr,2115,Yea
passage,108,hr,1828,Yea
passage,108,s,196,Yea
passage,108,sconres,30,Yea
passage,108,hr,2,Nay
passage,108,hr,2754,Yea
passage,108,sconres,23,Nay
passage,108,sres,373,Yea
passage,108,sconres,95,Nay
passage,108,hr,1350,Yea
passage,108,hr,3108,Yea
passage,108,hr,2673,Yea
passage,108,hr,1308,Yea
passage,108,hr,3108,Yea
passage,108,hr,4755,Yea
passage,108,hr,4520,Nay
passage,108,s,2845,Yea
passage,108,hjres,97,Yea
passage,108,sres,319,Yea
passage,108,s,2677,Yea
passage,108,sres,356,Yea
passage,108,hr,4759,Yea
passage,108,sres,393,Yea
passage,108,hr,1997,Yea
passage,108,hr,4567,Yea
passage,108,s,2400,Yea
passage,108,s,15,Yea
passage,108,s,1805,Nay
passage,108,s,1637,Yea
