Category:,Congress,Bill Type,Bill Number,Vote Position
passage,118,hr,8771,Yea
passage,118,hr,8752,Yea
passage-suspension,118,hr,6543,Yea
passage,118,hres,1316,Yea
passage-suspension,118,hr,2789,Yea
passage-suspension,118,hr,2964,Yea
passage,118,hr,8580,Yea
passage-suspension,118,s,138,Yea
passage,118,hr,7700,Yea
passage,118,hr,8774,Yea
passage-suspension,118,hr,897,Yea
passage,118,hres,1344,Yea
passage,118,hjres,165,Yea
passage-suspension,118,hr,5441,Yea
veto-override,118,hjres,109,Yea
passage,118,hr,8772,Yea
passage,118,hr,8282,Yea
passage-suspension,118,hres,901,Yea
passage-suspension,118,hr,7152,Yea
passage,118,hres,1292,Yea
passage-suspension,118,hr,6983,Yea
passage,118,hr,7637,Yea
